"","county","trade_name","account","license_type","expiration_date","lat","lon","address_full","publish_date","state","expired_y_n"
"109",NA,"# 17216","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"110",NA,"# 17162","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"111",NA,"# 17295","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"112",NA,"DOLLAR GENERAL #18175","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"113",NA,"DOLLAR GENERAL #17852","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"114",NA,"DOLLAR GENERAL #18629","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"115",NA,"DOLLAR GENERAL #19341","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"116",NA,"DOLLAR GENERAL 19694","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"117",NA,"DOLLAR GENERAL 19832","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"118",NA,"DOLLAR GENERAL 17890","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"119",NA,"DOLLAR GENERAL","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"120",NA,"DOLGEN, LLC","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"121",NA,"DOLGEN, LLC","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"122",NA,"DOLGEN, LLC","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"123",NA,"DOLGEN, LLC","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"124",NA,"DOLLAR GENERAL STORE # 21944","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"125",NA,"DOLLAR STORE GENERAL #21792","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"126",NA,"VINELAND SMOKE SHOP INC","NJ_20_7818",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"127",NA,"E&J GROCERY STORE LLC","NJ_20_8224",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"128",NA,"7-ELEVEN STORE #34925-C","NJ_20_8325",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"129",NA,"LA FE DELI & GROCERY LLC","NJ_20_8331",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"130",NA,"FRIENDS & FAMILY DELI & GROCERY LLC","NJ_20_8375",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"131",NA,"NEW HORIZON GAS STATION LLC","NJ_20_8381",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"132",NA,"KAIGHN LIQUOR INCORPORATED","NJ_20_8390",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"133",NA,"HBP LIQUORS LLC","NJ_20_8393",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"134",NA,"MODERN LIQUORS","NJ_20_8395",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
"135",NA,"A AND C 2 GROCERY STORE LLC","NJ_20_8396",NA,NA,37.09024,-95.712891,"NA, NA, NA, NA",NA,"NJ","EXPIRED"
